count,age,sex,race,intent,year
5,17,M,White,Accidental,2013
1,17,M,Hispanic,Undetermined,2014
3,76,M,White,Accidental,2014
1,26,F,Hispanic,Undetermined,2014
4,22,M,White,Undetermined,2013
1,29,F,White,Undetermined,2013
2,72,F,White,Undetermined,2014
2,22,M,Hispanic,Accidental,2014
1,60,M,Native American/Native Alaskan,Homicide,2013
221,69,M,White,Suicide,2012
12,78,F,White,Suicide,2012
1,77,M,Black,Homicide,2013
1,70,F,Black,Homicide,2013
25,65,F,White,Suicide,2014
1,15,M,Asian/Pacific Islander,Homicide,2013
307,20,M,Black,Homicide,2014
20,27,F,Black,Homicide,2014
23,31,M,Hispanic,Suicide,2012
4,24,F,Hispanic,Suicide,2012
2,61,F,Hispanic,Suicide,2013
1,45,F,Asian/Pacific Islander,Homicide,2012
4,36,M,Asian/Pacific Islander,Homicide,2012
39,64,F,White,Suicide,2014
16,52,M,Hispanic,Suicide,2013
3,59,M,White,Undetermined,2012
4,62,M,White,Accidental,2012
1,55,F,White,Accidental,2012
336,57,M,White,Suicide,2014
1,32,F,Native American/Native Alaskan,Homicide,2012
2,61,M,Native American/Native Alaskan,Homicide,2013
6,18,M,White,Accidental,2013
1,25,F,White,Accidental,2013
1,75,M,White,Accidental,2014
1,18,M,Hispanic,Undetermined,2014
1,68,F,White,Accidental,2014
2,30,F,White,Undetermined,2013
2,21,M,White,Undetermined,2013
2,21,M,Hispanic,Accidental,2014
1,80,M,White,Undetermined,2014
194,70,M,White,Suicide,2012
7,77,F,White,Suicide,2012
1,69,F,Black,Homicide,2013
41,66,F,White,Suicide,2014
1,16,M,Asian/Pacific Islander,Homicide,2013
258,19,M,Black,Homicide,2014
21,28,F,Black,Homicide,2014
20,32,M,Hispanic,Suicide,2012
2,23,F,Hispanic,Suicide,2012
13,33,M,Hispanic,Suicide,2012
14,53,M,Hispanic,Suicide,2013
1,37,M,Asian/Pacific Islander,Homicide,2012
2,44,F,Asian/Pacific Islander,Homicide,2012
356,56,M,White,Suicide,2014
1,54,F,White,Accidental,2012
5,63,M,White,Accidental,2012
3,58,M,White,Undetermined,2012
4,24,M,Native American/Native Alaskan,Homicide,2012
1,24,M,White,Undetermined,2013
1,31,F,White,Undetermined,2013
